School Name,School Level,School ID_x,State School ID,Zip Code,Total Enrollment,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Students with Disabilities,Limited English Proficiency,DataAsOf,American Indian or Alaska Native Count,Asian Count,Black or African American Count,Hispanic/Latino Count,Native Hawaiian or Other Pacific Islander Count,White Count,Male Count,Female Count,Economically Disadvantaged Count,Students with Disabilities Count,Limited English Proficiency Count,ach_score,lg_score,lg_grade,Total Funding Per Pupil,Federal Per Pupil,State and Local Per Pupil,Percentage Experienced Teachers,Student-Educator Ratio,ADDRESS,CITY,STATE,ZIP
A. Z. Kelley Elementary,Elementary School,496,1,37013,707,,6%,18%,19%,20%,18%,21%,,,,,,,,,0.005,0.15,0.37,0.27,0.005,0.2,0.53,0.47,0.33,0.11,0.44,1/17/23,3.5350000000000033,106.05,261.59,190.89000000000001,3.5350000000000033,141.4,374.71000000000004,332.28999999999996,233.31,77.77,311.08,2,3.3,C,15488.45,2209.14,13279.310000000001,0.8889,12,5834 Pettus RD,Antioch,TN,37013
Alex Green Elementary,Elementary School,375,5,37189,439,< 10,7%,18%,17%,13%,14%,17%,12%,,,,,,,,0,0,0.79,0.11,0,0.1,0.51,0.49,0.69,0.11,0.17,1/17/23,0,0,346.81,48.29,0,43.900000000000006,223.89000000000001,215.10999999999999,302.90999999999997,48.29,74.63000000000001,1,2.1,D,17694.170000000002,3115.04,14579.130000000001,0.8438,12,3921  Lloyd  RD,Whites Creek,TN,37189
Amqui Elementary,Elementary School,105,10,37115,514,< 10,6%,15%,18%,19%,14%,15%,12%,,,,,,,,0.003333333,0.003333333,0.44,0.44,0.003333333,0.11,0.49,0.51,0.53,0.1,0.33,1/17/23,1.7133333333333347,1.7133333333333347,226.16,226.16,1.7133333333333347,56.54,251.85999999999999,262.14,272.42,51.400000000000006,169.62,1,2.4,D,17578.64,3442.0099999999998,14136.630000000001,0.6667000000000001,11,319 Anderson LN,Madison,TN,37115
Andrew Jackson Elementary,Elementary School,460,15,37138,473,< 10,7%,19%,18%,13%,16%,13%,14%,,,,,,,,0.020000000000000018,0.020000000000000018,0.32,0.15,0.020000000000000018,0.47,0.56,0.44,0.22,0.16,0.09,1/17/23,9.460000000000008,9.460000000000008,151.36,70.95,9.460000000000008,222.30999999999997,264.88000000000005,208.12,104.06,75.68,42.57,4,3.5,B,17212.39,2190.39,15022,0.9737,12,110  Shute  LN,Old Hickory,TN,37138
Antioch High School,High School,110,20,37013,2129,,,,,,,,,,,< 10,28%,27%,27%,18%,0.013333333333333308,0.013333333333333308,0.33,0.5,0.013333333333333308,0.13,0.52,0.48,0.29,0.11,0.37,1/17/23,28.386666666666613,28.386666666666613,702.57,1064.5,28.386666666666613,276.77,1107.08,1021.92,617.41,234.19,787.73,1,1.1,F,13364.8,1739.97,11624.83,0.7879,16,1900  Hobson  PIKE,Antioch,TN,37013
Antioch Middle,Middle School,111,23,37013,659,,,,,,,,,33%,33%,34%,,,,,0.005,0.05,0.36,0.47,0.005,0.11,0.55,0.45,0.4,0.13,0.46,1/17/23,3.2950000000000395,32.95,237.23999999999998,309.72999999999996,3.2950000000000395,72.49,362.45000000000005,296.55,263.6,85.67,303.14,1,1.4,F,15826.169999999998,2621.2999999999997,13204.869999999999,0.7059000000000001,12,5050 Blue Hole RD,Antioch,TN,37013
Apollo Middle,Middle School,577,25,37013,712,,,,,,,,27%,25%,23%,25%,,,,,0.013333333333333345,0.013333333333333345,0.28,0.58,0.013333333333333345,0.1,0.49,0.51,0.4,0.12,0.5,1/17/23,9.493333333333341,9.493333333333341,199.36,412.96,9.493333333333341,71.2,348.88,363.12,284.8,85.44,356,1,1.2,F,14880.12,1885.8799999999999,12994.240000000002,0.8162999999999999,14,631  Richards  RD,Antioch,TN,37013
Aventura Community School,Charter,179,8015,37211,106,,,74%,26%,,,,,,,,,,,,0.013333333333333345,0.013333333333333345,0.15,0.59,0.013333333333333345,0.22,0.53,0.47,0.17,0.12,0.37,1/17/23,1.4133333333333344,1.4133333333333344,15.899999999999999,62.54,1.4133333333333344,23.32,56.18,49.82,18.02,12.719999999999999,39.22,,,,,,,,,3010 Tuggle Ave,Nashville,TN,37211
Bellevue Middle,Middle School,130,40,37221,503,,,,,,,,27%,26%,22%,25%,,,,,0,0.08,0.28,0.16,0,0.48,0.55,0.45,0.24,0.18,0.12,1/17/23,0,40.24,140.84,80.48,0,241.44,276.65000000000003,226.35,120.72,90.53999999999999,60.36,2.7,2.8,C,14665.69,2141.8999999999996,12523.79,0.6111,14,655  Colice  Jeanne RD,Nashville,TN,37221
Bellshire Elementary,Elementary School,135,45,37207,399,< 10,10%,18%,16%,13%,14%,14%,13%,,,,,,,,0.003333333,0.003333333,0.8,0.14,0.003333333,0.05,0.54,0.46,0.66,0.16,0.11,1/17/23,1.3299999999999863,1.3299999999999863,319.20000000000005,55.86000000000001,1.3299999999999863,19.950000000000003,215.46,183.54000000000002,263.34000000000003,63.84,43.89,1,2,D,18871.88,3664.66,15207.220000000001,0.8,12,1128 Bell Grimes LN,Nashville,TN,37207
Brick Church College Prep,Charter,118,118,37207,229,,,,,,,,8%,33%,23%,36%,,,,,0.010000000000000009,0.010000000000000009,0.82,0.14,0.010000000000000009,0.010000000000000009,0.48,0.52,0.7,0.16,0.19,1/17/23,2.290000000000002,2.290000000000002,187.78,32.06,2.290000000000002,2.290000000000002,109.92,119.08,160.29999999999998,36.64,43.51,,,,,,,,,2835 Brick Church Pike,Nashville,TN,37207
Cane Ridge Elementary,Elementary School,184,82,37013,727,,5%,16%,16%,16%,17%,13%,17%,,,,,,,,0.013333333333333308,0.013333333333333308,0.47,0.32,0.013333333333333308,0.17,0.54,0.46,0.38,0.11,0.41,1/17/23,9.693333333333316,9.693333333333316,341.69,232.64000000000001,9.693333333333316,123.59,392.58000000000004,334.42,276.26,79.97,298.07,2,3.3,C,14743.3,2332.89,12410.41,0.7736,13,3884 Asheford Trace ,Antioch,TN,37013
Cane Ridge High School,High School,182,77,37013,1987,,,,,,,,,,,,28%,28%,24%,20%,0,0.07,0.41,0.38,0,0.14,0.51,0.49,0.32,0.12,0.32,1/17/23,0,139.09,814.67,755.0600000000001,0,278.18,1013.37,973.63,635.84,238.44,635.84,1,1.2,F,12917.160000000002,1598.53,11318.630000000001,0.932,19,12848 Old Hickory BLVD,Antioch,TN,37013
Carter-Lawrence Elementary,Elementary School,185,670,37203,181,< 10,8%,22%,13%,17%,16%,18%,6%,,,,,,,,0.012500000000000011,0.012500000000000011,0.88,0.07,0.012500000000000011,0.012500000000000011,0.49,0.51,0.67,0.1,0.1,1/17/23,2.262500000000002,2.262500000000002,159.28,12.670000000000002,2.262500000000002,2.262500000000002,88.69,92.31,121.27000000000001,18.1,18.1,1,2.1,D,21247.52,4340.5,16907.02,0.5294,10,1118 12th Avenue South ,Nashville,TN,37203
Chadwell Elementary,Elementary School,200,105,37115,416,< 10,< 5%,18%,18%,19%,16%,14%,11%,,,,,,,,0.013333333333333383,0.013333333333333383,0.57,0.31,0.013333333333333383,0.08,0.52,0.48,0.59,0.1,0.32,1/17/23,5.546666666666687,5.546666666666687,237.11999999999998,128.96,5.546666666666687,33.28,216.32,199.68,245.44,41.6,133.12,1,1.2,F,16936.8,3139.41,13797.39,0.72,15,321 Port DR,Madison,TN,37115
Charlotte Park Elementary,Elementary School,205,110,37209,522,< 10,7%,16%,16%,19%,15%,14%,12%,,,,,,,,0,0.06,0.17,0.58,0,0.19,0.55,0.45,0.32,0.11,0.53,1/17/23,0,31.32,88.74000000000001,302.76,0,99.18,287.1,234.9,167.04,57.42,276.66,2,2.4,D,17101.940000000002,2394.58,14707.36,0.8095,11,480 Annex AVE,Nashville,TN,37209
Cockrill Elementary,Elementary School,215,120,37209,275,5%,9%,20%,13%,13%,14%,14%,11%,,,,,,,,0.003333333,0.003333333,0.55,0.3,0.003333333,0.14,0.49,0.51,0.5,0.2,0.24,1/17/23,0.9166666666666573,0.9166666666666573,151.25,82.5,0.9166666666666573,38.50000000000001,134.75,140.25,137.5,55,66,1,2,D,22704.309999999998,5075.24,17629.07,0.9167000000000001,10,4701  Indiana  AVE,Nashville,TN,37209
Cole Elementary,Elementary School,225,130,37013,794,< 5%,7%,16%,15%,16%,15%,16%,14%,,,,,,,,0.005,0.09,0.1,0.66,0.005,0.14,0.5,0.5,0.35,0.11,0.63,1/17/23,3.9699999999999593,71.46,79.4,524.0400000000001,3.9699999999999593,111.16000000000001,397,397,277.9,87.34,500.22,1,1.8,D,16489.25,2692.89,13796.36,0.7903,12,5060  Colemont  DR,Antioch,TN,37013
Creswell Middle School of the Arts,Middle School,783,700,37218,274,,,,,,,,15%,32%,25%,28%,,,,,3.700743415417188e-17,3.700743415417188e-17,0.84,0.06,3.700743415417188e-17,0.1,0.38,0.62,0.42,0.14,0.075,1/17/23,1.0140036958243096e-14,1.0140036958243096e-14,230.16,16.439999999999998,1.0140036958243096e-14,27.400000000000002,104.12,169.88,115.08,38.36000000000001,20.55,2.1,3.4,C,18887.56,4171.36,14716.2,0.875,12,3500 John Mallette DR,Nashville,TN,37218
Crieve Hall Elementary,Elementary School,235,145,37220,457,,,22%,22%,18%,15%,15%,9%,,,,,,,,0.02,0.15,0.02,0.27,0.02,0.52,0.54,0.46,0.12,0.05,0.31,1/17/23,9.14,68.55,9.14,123.39000000000001,9.14,237.64000000000001,246.78000000000003,210.22,54.839999999999996,22.85,141.67,5,3.6,B,14921.09,1542.25,13378.84,0.9231,12,498  Hogan  RD,Nashville,TN,37220
Croft Middle,Middle School,238,148,37211,504,,,,,,,,,32%,41%,28%,,,,,0.01,0.01,0.15,0.54,0.01,0.28,0.53,0.47,0.25,0.11,0.44,1/17/23,5.039999999999986,5.039999999999986,75.6,272.16,5.039999999999986,141.12,267.12,236.88,126,55.44,221.76,2,3.5,B,15397.2,1828.91,13568.29,0.8,12,482 Elysian Fields DR,Nashville,TN,37211
Cumberland Elementary,Elementary School,240,150,37218,442,,,16%,21%,17%,17%,15%,15%,,,,,,,,0.003333333,0.003333333,0.78,0.14,0.003333333,0.07,0.52,0.48,0.66,0.13,0.12,1/17/23,1.4733333333333345,1.4733333333333345,344.76,61.88,1.4733333333333345,30.94,229.84,212.16,291.72,57.46,53.04,1,2,D,15081.7,3048.98,12032.720000000001,0.47369999999999995,12,4247  Cato  RD,Nashville,TN,37218
Dan Mills Elementary,Elementary School,560,160,37216,620,< 10,< 5%,15%,19%,16%,18%,17%,12%,,,,,,,,0.006666667,0.006666667,0.14,0.19,0.006666667,0.65,0.5,0.5,0.14,0.12,0.14,1/17/23,4.133333333333336,4.133333333333336,86.80000000000001,117.8,4.133333333333336,403,310,310,86.80000000000001,74.39999999999999,86.80000000000001,5,4,B,14841.8,1707.66,13134.14,0.878,14,4106  Kennedy  AVE,Nashville,TN,37216
Dodson Elementary,Elementary School,252,165,37076,425,< 10,7%,17%,14%,14%,13%,18%,16%,,,,,,,,0.006666667,0.006666667,0.54,0.23,0.006666667,0.21,0.5,0.5,0.51,0.16,0.17,1/17/23,2.8333333333333357,2.8333333333333357,229.50000000000003,97.75,2.8333333333333357,89.25,212.5,212.5,216.75,68,72.25,2,3.2,C,19931.74,3594.41,16337.330000000002,0.9429000000000001,11,4401  Chandler  RD,Hermitage,TN,37076
Donelson Middle,Middle School,260,175,37214,449,,,,,,,,,31%,33%,36%,,,,,0.006666667,0.006666667,0.45,0.26,0.006666667,0.27,0.51,0.49,0.43,0.16,0.22,1/17/23,2.993333333333336,2.993333333333336,202.05,116.74000000000001,2.993333333333336,121.23,228.99,220.01,193.07,71.84,98.78,1,1.2,F,16134.52,2797.54,13336.98,0.7778,12,110  Stewarts  Ferry PIKE,Nashville,TN,37214
Dupont Elementary,Elementary School,265,180,37138,377,< 10,7%,14%,13%,18%,15%,15%,15%,,,,,,,,0.003333333,0.003333333,0.35,0.18,0.003333333,0.46,0.5,0.5,0.42,0.14,0.11,1/17/23,1.2566666666666677,1.2566666666666677,131.95,67.86,1.2566666666666677,173.42000000000002,188.5,188.5,158.34,52.78000000000001,41.47,2,2.1,D,19269.4,2794.6299999999997,16474.77,0.9309999999999999,11,1311  9th  ST,Old Hickory,TN,37138
Dupont-Hadley Middle,Middle School,270,190,37138,385,,,,,,,,,34%,33%,33%,,,,,0.010000000000000009,0.010000000000000009,0.34,0.14,0.010000000000000009,0.49,0.47,0.53,0.3,0.18,0.07,1/17/23,3.850000000000003,3.850000000000003,130.9,53.900000000000006,3.850000000000003,188.65,180.95,204.05,115.5,69.3,26.950000000000003,2,3.5,B,14996.25,2074.45,12921.8,0.9,13,1901 Old Hickory BLVD,Old Hickory,TN,37138
Dupont-Tyler Middle,Middle School,275,185,37076,313,,,,,,,,,36%,31%,33%,,,,,0.016666667,0.016666667,0.47,0.25,0.016666667,0.23,0.49,0.51,0.45,0.13,0.2,1/17/23,5.216666666666671,5.216666666666671,147.10999999999999,78.25,5.216666666666671,71.99000000000001,153.37,159.63,140.85,40.690000000000005,62.6,1,3,C,16937.55,2976.4399999999996,13961.11,1,13,431  Tyler  DR,Hermitage,TN,37076
Eagle View Elementary,Elementary School,278,115,37013,682,< 10,8%,16%,16%,12%,18%,17%,12%,,,,,,,,0.016666666666666646,0.016666666666666646,0.5,0.33,0.016666666666666646,0.12,0.52,0.48,0.41,0.1,0.36,1/17/23,11.366666666666653,11.366666666666653,341,225.06,11.366666666666653,81.84,354.64,327.36,279.62,68.2,245.51999999999998,2,2.6,C,16232.980000000001,2586.8999999999996,13646.080000000002,0.76,12,1470 Eagle View Blvd,Antioch,TN,37013
Eakin Elementary,Elementary School,280,195,37212,522,,,12%,23%,18%,18%,19%,10%,,,,,,,,0.005,0.1,0.39,0.06,0.005,0.44,0.49,0.51,0.19,0.14,0.06,1/17/23,2.610000000000002,52.2,203.58,31.32,2.610000000000002,229.68,255.78,266.22,99.18,73.08000000000001,31.32,5,4.8,A,15332.849999999999,2091.7799999999997,13241.07,0.7436,13,2500 Fairfax AVE,Nashville,TN,37212
Early College High School,High School,562,437,37209,180,,,,,,,,,,,,26%,21%,22%,32%,0.023333333333333317,0.023333333333333317,0.45,0.2,0.023333333333333317,0.28,0.41,0.59,0.17,0.075,0.075,1/17/23,4.1999999999999975,4.1999999999999975,81,36,4.1999999999999975,50.400000000000006,73.8,106.19999999999999,30.6,13.5,13.5,5,4.9,A,12687.43,1279.45,11407.98,0.8889,20,120 White Bridge RD,Nashville,TN,37209
East End Preparatory School,Charter,286,8009,37216,743,,,10%,11%,11%,11%,13%,11%,12%,9%,10%,,,,,0.003333333,0.003333333,0.79,0.14,0.003333333,0.06,0.47,0.53,0.46,0.13,0.07,1/17/23,2.476666666666669,2.476666666666669,586.97,104.02000000000001,2.476666666666669,44.58,349.21,393.79,341.78000000000003,96.59,52.010000000000005,4,4.5,A,19232.08,4979.4,14252.68,0.6491,13,1460 McGavock PIKE,Nashville,TN,37216
East Nashville Middle,Middle School,296,296,37206,258,,,,,,,,10%,30%,28%,31%,,,,,0.014,0.014,0.93,0.014,0.014,0.014,0.5,0.5,0.51,0.09,0.075,1/17/23,3.6119999999999974,3.6119999999999974,239.94000000000003,3.6119999999999974,3.6119999999999974,3.6119999999999974,129,129,131.58,23.22,19.349999999999998,1,2.2,D,16544.760000000002,2961.1299999999997,13583.630000000001,0.8,13,2000 Greenwood AVE,Nashville,TN,37206
East Nashville School,High School,290,203,37206,587,,,,,,,,,,,,28%,27%,22%,22%,0.012,0.012,0.94,0.012,0.012,0.012,0.49,0.51,0.47,0.1,0.075,1/17/23,7.044000000000006,7.044000000000006,551.78,7.044000000000006,7.044000000000006,7.044000000000006,287.63,299.37,275.89,58.7,44.025,1,1.2,F,13686.890000000001,1732.6699999999998,11954.220000000001,0.7778,17,110 Gallatin RD,Nashville,TN,37206
Explore Community School,Charter,305,8060,37206,524,,,13%,13%,15%,15%,10%,11%,14%,9%,,,,,,0.003333333,0.003333333,0.64,0.06,0.003333333,0.29,0.51,0.49,0.51,0.18,0.025,1/17/23,1.7466666666666681,1.7466666666666681,335.36,31.439999999999998,1.7466666666666681,151.95999999999998,267.24,256.76,267.24,94.32,13.100000000000001,2,3.5,B,16486.49,2928.68,13557.810000000001,0.4167,15,217 South 10th ST,Nashville,TN,37206
Fall-Hamilton Elementary,Elementary School,308,220,37203,295,8%,12%,12%,11%,16%,15%,15%,13%,,,,,,,,0.003333333,0.003333333,0.7,0.2,0.003333333,0.09,0.52,0.48,0.55,0.22,0.13,1/17/23,0.9833333333333452,0.9833333333333452,206.5,59,0.9833333333333452,26.55,153.4,141.6,162.25,64.9,38.35,2,2.9,C,21600.35,3832.4399999999996,17767.91,0.7188,8,510  Wedgewood  AVE,Nashville,TN,37203
Gateway Elementary,Elementary School,315,235,37115,275,,7%,17%,17%,14%,11%,16%,18%,,,,,,,,0.006666667,0.006666667,0.31,0.47,0.006666667,0.2,0.51,0.49,0.48,0.13,0.31,1/17/23,1.8333333333333348,1.8333333333333348,85.25,129.25,1.8333333333333348,55,140.25,134.75,132,35.75,85.25,2,3.4,C,18103.81,2594.56,15509.25,0.7726999999999999,12,1524 Monticello AVE,Madison,TN,37115
Glencliff Elementary,Elementary School,320,240,37211,540,< 10,6%,22%,19%,17%,18%,17%,,,,,,,,,0.013333333333333308,0.013333333333333308,0.18,0.64,0.013333333333333308,0.14,0.51,0.49,0.33,0.08,0.56,1/17/23,7.199999999999987,7.199999999999987,97.2,345.6,7.199999999999987,75.60000000000001,275.4,264.6,178.20000000000002,43.2,302.40000000000003,2,3.2,C,16014.87,2781.83,13233.04,0.8095,12,120  Antioch  PIKE,Nashville,TN,37211
Glencliff High School,High School,325,245,37211,1200,,,,,,,,,,,,30%,29%,21%,20%,0.006666667,0.006666667,0.19,0.69,0.006666667,0.1,0.55,0.45,0.34,0.07,0.58,1/17/23,8.000000000000052,8.000000000000052,228,827.9999999999999,8.000000000000052,120,660,540,408.00000000000006,84.00000000000001,696,1,1.4,F,14889.06,1832.4399999999998,13056.619999999999,0.8081999999999999,16,160  Antioch  PIKE,Nashville,TN,37211
Glendale Elementary,Elementary School,330,250,37204,412,< 5%,< 5%,17%,19%,20%,19%,17%,,,,,,,,,0.016666667,0.016666667,0.06,0.12,0.016666667,0.77,0.5,0.5,0.025,0.09,0.075,1/17/23,6.8666666666666725,6.8666666666666725,24.72,49.44,6.8666666666666725,317.24,206,206,10.3,37.08,30.9,5,4.4,B,14549.98,1954.36,12595.619999999999,0.8667,13,800 Thompson AVE,Nashville,TN,37204
Glengarry Elementary,Elementary School,335,255,37217,353,< 10,5%,18%,23%,15%,17%,22%,,,,,,,,,0.003333333,0.003333333,0.08,0.78,0.003333333,0.13,0.51,0.49,0.28,0.11,0.73,1/17/23,1.1766666666666676,1.1766666666666676,28.240000000000002,275.34000000000003,1.1766666666666676,45.89,180.03,172.97,98.84,38.83,257.69,2,2.9,C,16855.85,2708.33,14147.52,0.871,11,200  Finley  DR,Nashville,TN,37217
Glenview Elementary,Elementary School,345,265,37217,619,< 5%,7%,16%,19%,15%,16%,16%,11%,,,,,,,,0.003333333,0.003333333,0.16,0.73,0.003333333,0.1,0.53,0.47,0.31,0.07,0.71,1/17/23,2.0633333333333352,2.0633333333333352,99.04,451.87,2.0633333333333352,61.900000000000006,328.07,290.93,191.89,43.330000000000005,439.48999999999995,1,1.6,D,16499.01,3342.62,13156.39,0.9565,12,1020 Patricia DR,Nashville,TN,37217
Goodlettsville Elementary,Elementary School,350,270,37072,401,< 10,7%,15%,15%,16%,16%,17%,13%,,,,,,,,0.016666667,0.016666667,0.49,0.23,0.016666667,0.23,0.54,0.46,0.37,0.2,0.19,1/17/23,6.683333333333339,6.683333333333339,196.49,92.23,6.683333333333339,92.23,216.54000000000002,184.46,148.37,80.2,76.19,1,2.4,D,17463.120000000003,2339.74,15123.380000000001,0.963,13,514  Donald  ST,Goodlettsville,TN,37072
Goodlettsville Middle,Middle School,355,275,37072,432,,,,,,,,,34%,36%,30%,,,,,0.003333333,0.003333333,0.4,0.38,0.003333333,0.21,0.53,0.47,0.38,0.18,0.28,1/17/23,1.4400000000000013,1.4400000000000013,172.8,164.16,1.4400000000000013,90.72,228.96,203.04,164.16,77.75999999999999,120.96000000000001,1,2.1,D,14644.98,2008.49,12636.49,0.8889,16,300 South Main ST,Goodlettsville,TN,37072
Gower Elementary,Elementary School,360,280,37209,606,< 10,8%,17%,17%,14%,17%,14%,12%,,,,,,,,0.005,0.08,0.24,0.21,0.005,0.46,0.53,0.47,0.23,0.14,0.18,1/17/23,3.030000000000003,48.480000000000004,145.44,127.25999999999999,3.030000000000003,278.76,321.18,284.82,139.38,84.84,109.08,3,3.6,B,18165.850000000002,2751.2,15414.650000000001,0.8837,13,650 Old Hickory BLVD,Nashville,TN,37209
Granbery Elementary,Elementary School,370,290,37027,663,,,23%,25%,16%,18%,18%,,,,,,,,,0,0.13,0.15,0.18,0,0.54,0.51,0.49,0.13,0.08,0.21,1/17/23,0,86.19,99.45,119.33999999999999,0,358.02000000000004,338.13,324.87,86.19,53.04,139.23,5,4.8,A,15193.49,1688.72,13504.77,0.8162999999999999,14,5501  Hill  RD,Brentwood,TN,37027
H.G. Hill Middle School,Middle School,434,295,37205,428,,,,,,,,,32%,36%,32%,,,,,0.005,0.07,0.29,0.32,0.005,0.31,0.51,0.49,0.32,0.13,0.31,1/17/23,2.140000000000002,29.960000000000004,124.11999999999999,136.96,2.140000000000002,132.68,218.28,209.72,136.96,55.64,132.68,2,3.5,B,15955.240000000002,2262.43,13692.810000000001,0.8787999999999999,13,150 Davidson RD,Nashville,TN,37205
